,Description,URL,GameName
102,Enter the fractured psyche of Bruce Wayne and discover the powerful and far-reaching consequences of your choices as the Dark Knight.,https://store.steampowered.com/app/498240/Batman__The_Telltale_Series/,Batman - The Telltale Series
103,Experience what it’s like to be Batman and face off against Gotham's greatest villians. Explore every inch of Arkham Asylum and roam freely on the infamous island.,https://store.steampowered.com/app/35140/Batman_Arkham_Asylum_Game_of_the_Year_Edition/,Batman: Arkham Asylum GOTY Edition
104,"Batman™: Arkham Knight brings the award-winning Arkham trilogy from Rocksteady Studios to its epic conclusion. Developed exclusively for New-Gen platforms, Batman: Arkham Knight introduces Rocksteady's uniquely designed version of the Batmobile.",https://store.steampowered.com/app/208650/Batman_Arkham_Knight/,Batman: Arkham City GOTY
105,"Batman™: Arkham Knight brings the award-winning Arkham trilogy from Rocksteady Studios to its epic conclusion. Developed exclusively for New-Gen platforms, Batman: Arkham Knight introduces Rocksteady's uniquely designed version of the Batmobile.",https://store.steampowered.com/app/208650/Batman_Arkham_Knight/,Batman™: Arkham Knight
106,"As of December 4, 2016, the online services portion of Batman: Arkham Origins will be retired. We thank those that have joined us to battle over the last 3 years. The Single player campaign may still be played and enjoyed offline.",https://store.steampowered.com/app/209000/Batman_Arkham_Origins/,Batman™: Arkham Origins
107,"Battle friends over air, land and sea in this epic WW2-themed battle strategy game.",https://store.steampowered.com/app/305260/Battle_Islands/,Battle Islands
108,"Welcome to BattleBlock Theater! You’ve got no where to go but up...on stage. Play single player or co-op to free your friends and save Hatty Hattington! Jump, solve and battle your way through a mysterious theater inhabited by highly technological felines.",https://store.steampowered.com/app/238460/BattleBlock_Theater/,BattleBlock Theater
109,FREE PVP TRIAL AVAILABLE NOW! A tremendous band of badass heroes fight to protect the universe’s very last star from a mysterious evil in this Hero Shooter by the creators of Borderlands.,https://store.steampowered.com/app/394230/Battleborn/,Battleborn
110,"Battlefield: Bad Company 2™ brings the award-winning Battlefield gameplay to the forefront of PC gaming with best-in-class vehicular combat and unexpected ""Battlefield moments."" New vehicles like the ATV and a transport helicopter allow for all-new multiplayer tactics on the Battlefield. With the Frostbite-enabled Destruction 2.",https://store.steampowered.com/app/24960/Battlefield_Bad_Company_2/,Battlefield: Bad Company™ 2
111,"Battlefleet Gothic: Armada 2 is the new real-time strategy game adapted from Games Workshop’s famous tabletop game that portrays the epic space battles of the Warhammer 40,000 universe.",https://store.steampowered.com/app/573100/Battlefleet_Gothic_Armada_2/,Battlefleet Gothic: Armada
112,Experience your music collection like never before with this intense music driven arcade shooter. Each of your songs will have its own unique ebb and flow based on the music.,https://store.steampowered.com/app/49600/Beat_Hazard/,Beat Hazard
113,"The Day Before is an open-world MMO survival set in a deadly, post-pandemic America overrun by flesh-hungry infected and survivors killing each other for food, weapons, and cars.",https://store.steampowered.com/app/1372880/The_Day_Before/,Before the Echo
114,"The biggest, brightest Bejeweled ever! Discover all-new ways to play the world’s #1 puzzle game. Find your perfect match with 8 breathtaking game modes that meet all your moods.",https://store.steampowered.com/app/78000/Bejeweled_3/,Bejeweled 3
115,"Play as Jade, a young investigative reporter, and expose a terrible government conspiracy. It is up to you and your loyal pig friend Pey'j to save your planet and its inhabitants.",https://store.steampowered.com/app/15130/Beyond_Good_and_Evil/,Beyond Good & Evil
116,"What if you had it in your power to rid the world of disease, to improve the lives of millions, to ease suffering and cure the sick… and earn a tidy profit? As the head of your own Pharmaceutical Conglomerate you have this power resting in your hands. Will you use it for good?",https://store.steampowered.com/app/344850/Big_Pharma/,Big Pharma
117,"Set in futuristic Tokyo, take control of the robotic community before they control everything!",https://store.steampowered.com/app/203750/Binary_Domain/,Binary Domain
118,"Indebted to the wrong people, with his life on the line, veteran of the U.S. Cavalry and now hired gun, Booker DeWitt has only one opportunity to wipe his slate clean. He must rescue Elizabeth, a mysterious girl imprisoned since childhood and locked up in the flying city of Columbia.",https://store.steampowered.com/app/8870/BioShock_Infinite/,BioShock
119,"Set approximately 10 years after the events of the original BioShock, the halls of Rapture once again echo with sins of the past. Along the Atlantic coastline, a monster has been snatching little girls and bringing them back to the undersea city of Rapture.",https://store.steampowered.com/app/8850/BioShock_2/,BioShock 2
120,"In BioShock 2, you step into the boots of the most iconic denizen of Rapture, the Big Daddy, as you explore through the decrepit and beautiful fallen city, chasing an unseen foe in search of answers and your own survival.",https://store.steampowered.com/app/409720/BioShock_2_Remastered/,BioShock 2 Remastered
